yr,algeria,angola,benin,botswana,burkinafaso,burundi,cameroon,car,chad,comoros,congodr,congorepub,djibouti,egypt,eqguinea,ethiopia,gabon,gambia,guinea,guineabissau,ivorycoast,kenya,lesotho,liberia,libya,madagascar,malawi,mali,marocco,mozambique,namibia,niger,nigeria,rwanda,saotome,seychelles,sierraleone,somalia,southafrica,tanzania,tunisia,zambia,zimbabwe
 1961.000, 0.067881, 0.061829, 0.003709, 0.008744, 0.012187,-0.187132,NA,NA,NA,-0.051479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011515,-0.084795,NA,NA,NA,NA,NA, 0.033668,NA,-0.035688,NA,-0.024002,NA,NA,NA,-0.052398,NA,-0.004171,NA,NA,-0.012228, 0.003021,NA
 1962.000,-0.121465, 0.006573,-0.048117,-0.021991, 0.035763, 0.014644,-0.008889,-0.002713, 0.044625, 0.001275, 0.197428, 0.007740,-0.012008, 0.016105, 0.086788, 0.005654, 0.002975,-0.002351, 0.007272, 0.011287,-0.091276, 0.048673,-0.006382, 0.083664, 0.293007, 0.027699,-0.001027,-0.054832,-0.033203, 0.038046,-0.008221, 0.043949, 0.021805, 0.028394,-0.004745, 0.006692,-0.008812, 0.103899,-0.027384, 0.003332, 0.014723,-0.038023,-0.027547
 1963.000, 0.068696, 0.050578,-0.002232,-0.037318,-0.002829,-0.015929, 0.029099, 0.013483,-0.023661, 0.040665, 0.042172,-0.018005,-0.019174, 0.019019,-0.123022,-0.009257, 0.021515, 0.021134, 0.003943,-0.011082, 0.027034, 0.044088,-0.007562,-0.009464, 0.142860,-0.030870, 0.010572, 0.006308, 0.013390, 0.026040, 0.005248, 0.060928, 0.062639, 0.018130, 0.037996, 0.025355,-0.054332, 0.029654, 0.008888,-0.014930, 0.046319,-0.022123, 0.034532
 1964.000,-0.001507,-0.003791, 0.024394,-0.004255, 0.010917, 0.012620, 0.004270, 0.027324,-0.007350,-0.027893,-0.035959, 0.027043,-0.016041, 0.017815, 0.095900, 0.032605, 0.056718, 0.002548,-0.016552, 0.020647, 0.070011, 0.004579, 0.000437,-0.008755,-0.019098, 0.021566,-0.016363,-0.023180,-0.001037, 0.037745, 0.012096,-0.018011, 0.037987,-0.063499, 0.069778, 0.040738, 0.008060,-0.051831, 0.011021, 0.016689, 0.005779, 0.040944,-0.015898
 1965.000,-0.008778,-0.002355, 0.024208,-0.038207, 0.008846,-0.003303,-0.015414,-0.015369,-0.010641,-0.009033,-0.028319,-0.013277,-0.001272,-0.007253,-0.372160, 0.012018, 0.040753, 0.028957, 0.003263, 0.005703,-0.097719,-0.035246,-0.003229,-0.027944,-0.186492,-0.021707, 0.026520, 0.018729, 0.005393, 0.014262,-0.014952, 0.042369, 0.025828, 0.021542, 0.030046,-0.017629, 0.046044,-0.093321,-0.009292,-0.003874,-0.014916, 0.104859, 0.039777
 1966.000,-0.032259, 0.009452, 0.014186,-0.038660,-0.033260, 0.005696, 0.007698, 0.017963,-0.025277,-0.012586, 0.011533,-0.039227,-0.019351,-0.039434, 0.086404, 0.001428, 0.017973,-0.013706,-0.002625,-0.035839, 0.026566, 0.046847,-0.019181, 0.042142,-0.068544,-0.017669, 0.018578,-0.023245,-0.036416, 0.032947,-0.016481,-0.018498,-0.073650, 0.019242, 0.037464, 0.042771,-0.010252, 0.045688,-0.016895, 0.001444,-0.023855,-0.058301,-0.005614
 1967.000,-0.044721, 0.010645,-0.004360,-0.016843, 0.035840, 0.096631,-0.060439, 0.043514, 0.031795, 0.025972,-0.012090,-0.014677, 0.028618,-0.020007, 0.142357,-0.026945,-0.050365,-0.029178,-0.014576, 0.016926,-0.021703,-0.038408, 0.040724,-0.004215,-0.155255,-0.006921, 0.032596, 0.014128, 0.006250, 0.043818,-0.004254,-0.005904,-0.183831,-0.028924,-0.010932,-0.040725,-0.023349,-0.008683, 0.029489,-0.001173,-0.059872, 0.034542, 0.066952
 1968.000, 0.048081, 0.025980, 0.005254, 0.022629, 0.020343,-0.019475,-0.018876,-0.017309, 0.018347,-0.005326,-0.001740, 0.028026, 0.004374, 0.012126, 0.121060,-0.098045,-0.090522, 0.018819,-0.002440,-0.031188, 0.054419,-0.018957,-0.000800, 0.123969,-0.042682, 0.015826,-0.025553, 0.032148, 0.017676, 0.049980, 0.002831, 0.000289,-0.071427,-0.052743,-0.050936,-0.030749,-0.045266, 0.004037,-0.000854, 0.003013, 0.010197, 0.007255,-0.054077
 1969.000, 0.015534,-0.048735, 0.000982,-0.003432,-0.000434,-0.038428, 0.032595, 0.071208, 0.072628, 0.016585, 0.056262,-0.002003, 0.026915, 0.012747, 0.312249, 0.025125,-0.024927,-0.000908, 0.004945, 0.051692, 0.046632,-0.012663, 0.017655, 0.023142,-0.054694,-0.007811,-0.014459, 0.000797, 0.029507, 0.008951, 0.008466,-0.041919, 0.078779, 0.076392,-0.023294,-0.069758, 0.025596,-0.049246, 0.005169,-0.016805,-0.025906,-0.011999, 0.059974
 1970.000, 0.007461, 0.002109,-0.012143, 0.069058,-0.011158, 0.156668,-0.037894, 0.030300,-0.027920,-0.009956,-0.057689,-0.010855,-0.003736, 0.007745,-0.247695, 0.035260,-0.052402, 0.019704, 0.017842, 0.011063, 0.062629,-0.146136, 0.008852, 0.049894,-0.240620, 0.019633,-0.088046, 0.022306, 0.011659, 0.015482, 0.008986, 0.023059, 0.066365, 0.034137,-0.041090,-0.038958, 0.025983,-0.002317, 0.010788, 0.015118,-0.031590, 0.020306, 0.107287
 1971.000,-0.049529,-0.031763,-0.045322, 0.039779,-0.025056, 0.016591,-0.011231,-0.004500,-0.081891, 0.035099, 0.012056, 0.006819, 0.020588,-0.030736, 0.124021, 0.036143,-0.026574,-0.016727,-0.010290,-0.038226, 0.062654, 0.078107, 0.008644, 0.048363,-0.105967, 0.024366,-0.003550,-0.007183, 0.004345, 0.010058, 0.016837, 0.060578, 0.013520, 0.030374,-0.011219, 0.058295, 0.012831,-0.022145,-0.004523,-0.003381, 0.028634,-0.033237,-0.047395
 1972.000, 0.031783,-0.004272, 0.020501, 0.012872,-0.006411,-0.076240, 0.033946, 0.013214,-0.025262,-0.027359,-0.031430, 0.040622, 0.017046,-0.015811, 0.193875, 0.037505,-0.047543,-0.041465, 0.005695, 0.019429, 0.019556, 0.073032,-0.078446, 0.016386, 0.275938,-0.018396, 0.025058,-0.001022,-0.004866,-0.001564,-0.003147,-0.030914,-0.033340,-0.029365, 0.034567, 0.024443,-0.015328, 0.030859,-0.010883,-0.010021, 0.078295, 0.028114,-0.014437
 1973.000,-0.013208, 0.013460, 0.012432,-0.044695,-0.039067, 0.038640, 0.007196, 0.033861,-0.114916,-0.042479, 0.041477, 0.016944, 0.008223,-0.019392, 0.019829,-0.063284,-0.034212,-0.013481, 0.000780,-0.014394, 0.027803, 0.001329, 0.075113,-0.026735, 0.238376,-0.016688,-0.015854,-0.036417,-0.028001, 0.013540, 0.005064,-0.185848, 0.016846,-0.017036, 0.062264, 0.056041, 0.005296,-0.069077, 0.014826,-0.000887,-0.045753,-0.021059,-0.003197
 1974.000, 0.042340,-0.008572, 0.006633,-0.030524, 0.033814,-0.030423,-0.034351, 0.058337,-0.030554,-0.020431, 0.016648, 0.033019, 0.025631,-0.009130,-0.047488, 0.052287, 0.136271,-0.008536, 0.009227,-0.007188, 0.011222, 0.009623, 0.021363, 0.028909, 0.233260, 0.010012, 0.010609,-0.076544, 0.003588, 0.014447, 0.009657, 0.009646, 0.091865,-0.047862, 0.073774,-0.044505, 0.035980,-0.256169, 0.027665, 0.013922, 0.002443, 0.064504, 0.060724
 1975.000,-0.005320,-0.027310,-0.069231, 0.003132,-0.008397,-0.027724, 0.000147, 0.065183, 0.008197,-0.019794,-0.082283, 0.035686, 0.001318, 0.004717, 0.066352,-0.058096, 0.081075, 0.055548,-0.002750, 0.013530, 0.014226,-0.025666,-0.060309,-0.095327, 0.101781, 0.012470,-0.007030, 0.059148, 0.024197,-0.009660,-0.010090,-0.084793,-0.071711,-0.044147,-0.066363,-0.073083, 0.021944, 0.166214,-0.016637, 0.025714,-0.007517,-0.015912,-0.073864
 1976.000, 0.007684,-0.007787,-0.030744, 0.000129, 0.047522, 0.037326,-0.028915, 0.032377,-0.019446, 0.011777,-0.052277,-0.026505,-0.029340, 0.019764,-0.298710, 0.010743, 0.218746, 0.029767, 0.013776, 0.012887, 0.048520,-0.037930,-0.014676, 0.020366, 0.027908,-0.015403, 0.012321, 0.017260, 0.018732,-0.027988, 0.005035,-0.034049, 0.098668, 0.009559,-0.043638, 0.066471, 0.028758,-0.050833, 0.002348, 0.005009, 0.030448, 0.057214,-0.009714
 1977.000,-0.005194, 0.024557, 0.000333, 0.047823,-0.024784, 0.077574, 0.038616, 0.023509,-0.003913,-0.008954, 0.034194,-0.112265,-0.041046,-0.000552, 0.071524,-0.038580,-0.121933, 0.007800, 0.003470,-0.029816,-0.017860, 0.016893,-0.011222, 0.139625,-0.022961,-0.016480, 0.033085, 0.043383, 0.001736,-0.008391, 0.020796, 0.040325, 0.057028, 0.052237,-0.001690,-0.097129, 0.045107, 0.176408,-0.031051, 0.008548,-0.016745,-0.020651,-0.066986
 1978.000,-0.008622,-0.001641,-0.033652, 0.006731,-0.002323,-0.019625, 0.013558,-0.031914,-0.022393, 0.006948, 0.001131, 0.034418,-0.021142,-0.037178,-0.189069,-0.179254,-0.097070,-0.014512, 0.012723, 0.029320, 0.046280, 0.008076, 0.033921, 0.005906, 0.000970,-0.007971, 0.032841,-0.018665,-0.018480,-0.044320,-0.000946, 0.116888,-0.037610, 0.011454, 0.011361, 0.073155, 0.083216, 0.092749,-0.001517, 0.003292,-0.023445,-0.010917, 0.016337
 1979.000, 0.055160,-0.016069,-0.001690, 0.009748, 0.020474,-0.000643, 0.022769,-0.020582,-0.256010, 0.063077, 0.031474,-0.038218, 0.021576,-0.005671,-0.051469,-0.032878, 0.074358,-0.038150,-0.015834, 0.008698, 0.021596, 0.028230, 0.012109,-0.065739, 0.107364, 0.022671, 0.014958, 0.068974,-0.016718,-0.036157, 0.015477, 0.073310, 0.116066,-0.030582,-0.008783, 0.083831, 0.077773, 0.006661,-0.000143, 0.014644,-0.012140,-0.054931, 0.035330
 1980.000,-0.017393,-0.104945, 0.020753,-0.005462,-0.015981,-0.008854,-0.009831,-0.048926,-0.096164, 0.021395, 0.004882, 0.006134, 0.009147, 0.037160, 0.091037, 0.000952,-0.001728,-0.022209,-0.004879,-0.090965,-0.115549, 0.017769,-0.003116, 0.014677, 0.046179, 0.047422, 0.006339, 0.020983, 0.003363,-0.022557, 0.022397, 0.043291, 0.044063, 0.005171,-0.033991,-0.002434, 0.020221,-0.013854, 0.025298,-0.001386, 0.011867,-0.034686, 0.013124
 1981.000,-0.017617,-0.030495, 0.060971, 0.018769, 0.002424, 0.091838, 0.104899,-0.007733,-0.036062, 0.004681,-0.017926, 0.015850,-0.032264,-0.010618, 0.108045,-0.001935, 0.041583, 0.015461,-0.012948, 0.043927, 0.008548, 0.004110, 0.031029, 0.051900,-0.210478,-0.019520,-0.041589,-0.004450,-0.038635,-0.017074,-0.018109, 0.062561,-0.122783,-0.025944,-0.103721,-0.016810,-0.016369, 0.043981, 0.017138,-0.023554, 0.014424, 0.003068, 0.000304
 1982.000,-0.040119,-0.009125, 0.018671, 0.022766, 0.022753,-0.023712, 0.015676, 0.052764, 0.033239, 0.035222,-0.022948, 0.098701,-0.017442, 0.029620,-0.027188,-0.011057,-0.042808,-0.032894,-0.010081, 0.047015,-0.023902, 0.009132,-0.029176,-0.067340,-0.042353,-0.013528,-0.018114,-0.055896,-0.001206,-0.087741,-0.005984, 0.050632, 0.050211,-0.006655,-0.019022,-0.025509, 0.031722, 0.042965,-0.026164,-0.029444,-0.023508,-0.018764,-0.010888
 1983.000,-0.010679,-0.012306,-0.040097,-0.029916,-0.047831, 0.002472, 0.012618,-0.049167, 0.137321, 0.023935, 0.004939,-0.027547, 0.012251,-0.001062, 0.039410, 0.045056, 0.036663, 0.008867,-0.004834,-0.018172,-0.061066,-0.012883,-0.058657, 0.069903,-0.032757, 0.004638, 0.007945,-0.011553, 0.005236,-0.181803,-0.033194,-0.000843,-0.024482, 0.080854,-0.021575,-0.058976,-0.024937,-0.096544,-0.020113,-0.019786, 0.012481,-0.022544,-0.047222
 1984.000, 0.028959,-0.019483, 0.042299, 0.006938,-0.044993,-0.022730, 0.026861, 0.067601, 0.054253, 0.021987, 0.043162, 0.055081, 0.000749, 0.017941, 0.076946,-0.013193,-0.053891, 0.003444,-0.000727,-0.015307,-0.064866,-0.002257, 0.015634, 0.117428,-0.090495,-0.002406, 0.021893,-0.092524, 0.007446,-0.108504,-0.001076,-0.145980, 0.008038, 0.047677,-0.020089, 0.023401,-0.001153,-0.004119, 0.049272,-0.001170, 0.037172,-0.013390,-0.045774
 1985.000, 0.042365, 0.072018, 0.073136,-0.011834, 0.018327, 0.075268, 0.057147, 0.057528, 0.148893, 0.001558,-0.022328,-0.023312, 0.016903, 0.024784, 0.098173,-0.068923,-0.079687, 0.002904, 0.023494,-0.053959,-0.007791, 0.006959, 0.019813, 0.038549,-0.009614, 0.018931, 0.004650, 0.056837,-0.002208,-0.039829,-0.000752, 0.033199, 0.082432, 0.036652, 0.044020, 0.075332,-0.073061, 0.036455,-0.020104, 0.003491, 0.040701, 0.014686, 0.051589
 1986.000, 0.054115, 0.018389, 0.021198, 0.007334, 0.031751, 0.012391, 0.092189,-0.014356,-0.020482,-0.005657, 0.038743,-0.061444,-0.004918,-0.007198,-0.151743, 0.025674, 0.051401, 0.001772,-0.008554, 0.010927,-0.007613, 0.024986,-0.010798,-0.021083,-0.108373,-0.017700, 0.024858, 0.039142, 0.066451,-0.074275,-0.000784, 0.031929,-0.103780, 0.026138,-0.057304,-0.003581,-0.029908, 0.032089,-0.000680, 0.006820,-0.025176,-0.012180,-0.002905
 1987.000,-0.036306,-0.046113,-0.020534, 0.063872,-0.028030, 0.040383,-0.019325,-0.041155,-0.038873,-0.009331, 0.020137, 0.008437,-0.002325,-0.009885,-0.089241, 0.068386,-0.215996,-0.022316,-0.005008, 0.016315,-0.035326, 0.016720,-0.040006, 0.028225,-0.185084, 0.005540, 0.007147, 0.018267,-0.030155, 0.077336, 0.014717,-0.013786,-0.110712,-0.046121,-0.046009,-0.012237, 0.050431, 0.067765, 0.004384, 0.008084, 0.026228, 0.003965, 0.022192
