"","Estimation_Type","SEFM_ME","SEFM_MAE","MA1_ME","MA1_MAE","AR1_ME","AR1_MAE","OLS_ME","OLS_MAE","RW_ME","RW_MAE"
"ALGERIA","NLS",-3.93,3.93,-0.48,0.51,-0.62,0.62,-2.01,2.01,-13.65,149.06
"ANGOLA","OLS",0.78,2.9,-0.01,1.48,-0.27,1.63,0.78,2.9,23.19,79.82
"BENIN","NLS",-0.71,2.44,0.98,1.66,0.98,1.65,2.73,2.76,10.95,43.61
"BOTSWANA","NLS",-4.53,6.1,-2.93,3.92,-1.77,4.2,-3.05,4.04,8.04,58.32
"BURKINAFASO","NLS",2.52,2.66,1.25,1.38,1.25,1.39,0.45,1.78,-16.18,39.37
"BURUNDI","NLS",0.59,2.14,-0.42,2.74,-0.76,2.63,-1.6,3.09,-3.09,62.27
"CABOVERDE","OLS",-4.28,4.28,-3.09,3.09,-2.69,2.69,-4.28,4.28,78.01,126.25
"CAMEROON","NLS",0.57,1.17,1.16,1.16,1.07,1.07,3.03,3.03,3.29,79.01
"CAR","NLS w/o relations",-7.3,13.59,-8.87,12.96,-8.27,12.55,NA,NA,-11.25,121.52
"CHAD","NLS",-3.7,4.95,-1.17,4.69,-1.3,4.63,-1.92,3.99,43.02,53.12
"COMOROS","NLS",-0.27,0.55,-0.65,0.78,-0.7,0.81,1.24,1.67,48.05,75.64
"CONGODR","NLS w/o relations",2.74,2.74,3.95,3.97,2.98,3.44,NA,NA,-5.07,55.66
"CONGOREPUB","NLS",1.08,3.33,-1.31,2.37,-1.4,2.37,0.72,3.12,44.46,54.48
"DJIBOUTI","NLS",1.06,1.26,2.33,2.33,1.24,1.24,0.68,2.09,14.59,75.08
"EGYPT","NLS",-1,1.29,-1.42,1.42,-1.02,1.2,-1.31,1.48,-72.75,72.75
"EQGUINEA","NLS w/o relations",-8.39,8.39,-10.35,10.35,-9.71,9.71,NA,NA,-6.91,129.25
"ERITREA","OLS",0.64,1.8,1.37,2.13,0.48,1.94,0.64,1.8,-12.8,58.06
"ETHIOPIA","NLS w/o relations",3.94,4.28,3.93,3.93,3.68,3.68,NA,NA,-44.21,84.48
"GABON","NLS",1.28,3.38,0.39,0.99,0.5,0.97,1.1,2.2,-16.64,94.79
"GAMBIA","NLS",1.03,2.74,-1.85,2.29,-1.84,2.37,-0.57,2.51,-98.45,98.45
"GHANA","OLS",0.23,2.81,2.38,2.56,1.91,2.24,0.23,2.81,41.01,98.11
"GUINEA","NLS",1.55,1.55,1.48,1.48,1.42,1.42,1.72,1.72,-1.56,65.99
"GUINEABISSAU","NLS",0.48,4.05,2.48,3.28,2.24,3.27,2.63,3.02,-28,56.6
"IVORYCOAST","NLS",7.36,9.41,2.54,5.08,2.51,4.97,2.3,4.98,20.85,153.05
"KENYA","NLS",0.73,1.28,0.84,0.86,0.61,0.72,-0.84,1.06,-26.58,78.19
"LESOTHO","NLS",-3.78,6.55,-0.98,1.71,-1.1,1.96,0.58,3.24,-93.99,128.54
"LIBERIA","NLS w/o relations",-0.99,4.36,2.28,3.7,0.9,3.02,NA,NA,-4.76,53.21
"LIBYA","NLS w/o relations",-8.32,43.53,-10.85,40.83,-8.32,43.53,NA,NA,-78.09,100.94
"MADAGASCAR","NLS",1.02,3.69,1.11,1.23,1.11,1.22,1.44,1.51,44.19,67.28
"MALAWI","NLS",2.48,5.12,-0.36,1.4,-0.3,1.4,-0.02,1.92,38.81,71.3
"MALI","NLS",1.63,6.32,0.39,2.43,0.34,2.47,-1.1,1.8,73.26,92.79
"MAURITANIA","OLS",-0.88,2.38,0.46,1.89,0.64,1.95,-0.88,2.38,50.47,56.54
"MAURITIUS","OLS",-1.16,1.16,-1.77,1.77,-1.78,1.78,-1.16,1.16,-16.76,51.33
"MOROCCO","NLS",-0.41,1.46,-1.79,1.79,-1.95,1.95,0.21,1.18,42.09,63.17
"MOZAMBIQUE","NLS",-4.17,4.31,0.75,1.32,0.33,1.04,-0.12,0.8,-47.14,111.98
"NAMIBIA","NLS",0.08,1.41,0.41,1.5,0.16,1.38,-1.08,1.33,49.02,81.18
"NIGER","NLS",2.67,2.85,3.26,3.34,3.31,3.34,0.51,2.56,88.42,154.63
"NIGERIA","NLS",-2.57,2.57,-0.47,1.72,-0.64,1.74,1.43,1.54,-59.35,78.47
"RWANDA","NLS",6.38,8.3,3.52,3.52,3.33,3.33,0.84,1.58,-0.28,68.42
"SAOTOME","NLS",4.31,4.69,-0.18,1.1,-0.32,1.22,4.14,4.14,16.93,32.31
"SENEGAL","OLS",1.9,2.4,2.25,2.36,2.19,2.29,1.9,2.4,-20.15,74.79
"SEYCHELLES","NLS",-2.24,2.54,0.78,1.44,0.6,1.41,1.61,1.93,-74.26,74.26
"SIERRALEONE","NLS",0.63,9.8,1.87,10.46,1.66,10.57,-0.72,9.13,-3.17,41.91
"SOMALIA","NLS",-0.94,3.98,-1.32,3.17,-1.41,3.12,-0.31,4.11,-23.87,56.54
"SOUTHAFRICA","NLS",-1.44,1.69,-1.05,1.05,-0.83,0.9,-1.7,1.7,-43.08,70.17
"SUDAN","OLS",-3.93,3.93,-0.95,1.95,-0.91,2.01,-3.93,3.93,-39.33,68.99
"TANZANIA","NLS",1.02,1.49,1.71,1.86,0.96,1.41,1.14,1.33,-31.75,48.53
"TOGO","OLS",-0.48,0.98,1.2,1.2,1.35,1.35,-0.48,0.98,48.88,75.99
"TUNISIA","NLS",-2.48,2.55,-3.17,3.17,-3.22,3.22,-2.7,2.7,-12.27,75.6
"UGANDA","OLS",0.36,1.87,-0.04,1.34,-0.21,1.63,0.36,1.87,14.48,71.19
"ZAMBIA","NLS",-0.21,1.62,1.61,1.73,1.52,1.66,-0.25,1.79,-13.35,101.82
"ZIMBABWE","NLS w/o relations",1.14,3.79,2.53,3.63,1.41,3.5,NA,NA,-14.56,42.61
